XS YS
-53708399.97285319 149597841879.75644
-107416789.55344905 149597765025.76813
-161125151.47865066 149597620924.52274
-214833461.58725622 149597390362.48465
-268541688.8199282 149597054126.07764
-322249795.2190804 149596593001.66263
-375957735.9287131 149595987775.5107
-429665459.1941871 149595219233.77097
-483372906.36192584 149594268162.4335
-537080011.8790367 149593115347.28757
-590786703.2928418 149591741573.87466
-644492901.2503074 149590127627.43674
-698198519.4973643 149588254292.85947
-751903464.8781062 149586102354.6105
-805607637.3338603 149583652596.67288
-859310929.9021167 149580885802.4735
-913013228.715309 149577782754.80652
-966714412.9994354 149574324235.75195
-1020414355.0725107 149570491026.58923
-1074112920.3428397 149566263907.70584
-1127809967.3071012 149561623658.50098
-1181505347.548235 149556551057.28424
-1235198905.7331173 149551026881.16937
-1288890479.610022 149545031905.9631
-1342579900.0058496 149538546906.04892
-1396266990.8231196 149531552654.26578
-1449951569.0367167 149524029921.78204
-1503633444.6903741 149515959477.96432
-1557312420.8928938 149507322090.24124
-1610988293.8140845 149498098523.96225
-1664660852.6804137 149488269542.2516
-1718329879.7703598 149477815905.85687
-1771995150.409456 149466718372.99295
-1825656432.9650161 149454957699.1806
-1879313488.8405302 149442514637.08017
-1932966072.4697201 149429369936.32013
-1986613931.3102481 149415504343.32065
-2040256805.8370612 149400898601.1119
-2093894429.5353682 149385533449.1475
-2147526528.8932343 149369389623.11255
-2201152823.3937817 149352447854.72684
-2254773025.506993 149334688871.54263
-2308386840.6810946 149316093396.73746
-2361993967.333523 149296642148.90167
-2415594096.841448 149276315841.82074
-2469186913.531859 149255095184.25244
-2522772094.6711874 149232960879.69867
-2576349310.4544625 149209893626.17215
-2629918223.9939904 149185874115.95767
-2683478491.3075385 149160883035.3682
-2737029761.3060207 149134901064.4954
-2790571675.780666 149107908876.9552
-2844103869.389663 149079887139.6276
-2897625969.6442685 149050816512.39108
-2951137596.8943624 149020677647.85193
-3004638364.3134456 148989451191.06766
-3058127877.883062 148957117779.2652
-3111605736.3766327 148923658041.55347
-3165071531.3426976 148889052598.6303
-3218524847.0875382 148853282062.48395
-3271965260.657182 148816327036.08868
-3325392341.818768 148778168113.09506
-3378805653.04126 148738785877.51413
-3432204749.4755 148698160903.39606
-3485589178.933583 148656273754.50296
-3538958481.867537 148613104983.9758
-3592312191.347307 148568635133.99545
-3645649833.038011 148522844735.43793
-3698970925.1764684 148475714307.52338
-3752274978.5469766 148427224357.45932
-3805561496.4563303 148377355380.0776
-3858829974.708057 148326087857.4653
-3912079901.5758634 148273402258.58936
-3965310757.776271 148219279038.9151
-4018522016.4404287 148163698640.0184
-4071713143.085084 148106641489.19138
-4124883595.5826974 148048087999.04175
-4178032824.1306834 147988018567.08566
-4231160271.219759 147926413575.33405
-4284265371.6013875 147863253389.87216
-4337347552.254293 147798518360.43265
-4390406232.350034 147732188819.9617
-4443440823.217612 147664245084.17828
-4496450728.307104 147594667451.12668
-4549435343.15229 147523436200.72183
-4602394055.332263 147450531594.2877
-4655326244.432003 147375933874.0883
-4708231282.001886 147299623262.85178
-4761108531.516116 147221579963.28687
-4813957348.330059 147141784157.59195
-4866777079.636443 147060216006.95676
-4919567064.420427 146976855651.05624
-4972326633.413493 146891683207.53674
-5025055109.04615 146804678771.4946
-5077751805.399425 146715822414.94635
-5130416028.155109 146625094186.29132
-5183047074.544756 146532474109.7658
-5235644233.297371 146437942184.88898
-5288206784.585804 146341478385.9007
-5340733999.971792 146243062661.19025
