XS YS
-67034662329.18063 -99737999.99999785
-67034423109.89366 -199475786.44543973
-67034088203.260506 -299213216.96676207
-67033657610.09488 -398950149.1963103
-67033131331.57279 -498686440.76954955
-67032509369.23252 -598421949.3262753
-67031791724.974594 -698156532.5118238
-67030978401.06175 -797890047.9782822
-67030069400.118935 -897622353.3856993
-67029064725.13323 -997353306.403295
-67027964379.45384 -1097082764.710671
-67026768366.792015 -1196810585.999019
-67025476691.22101 -1296536627.972331
-67024089357.17604 -1396260748.3486087
-67022606369.4542 -1495982804.8610706
-67021027733.21439 -1595702655.259362
-67019353453.97725 -1695420157.310762
-67017583537.62506 -1795135168.8013911
-67015717990.40169 -1894847547.537419
-67013756818.91247 -1994557151.34627
-67011700030.124115 -2094263838.07783
-67009547631.364624 -2193967465.605652
-67007299630.32315 -2293667891.828161
-67004956035.04991 -2393364974.669858
-67002516853.956055 -2493058572.082525
-66999982095.81354 -2592748542.0464263
-66997351769.755005 -2692434742.5715137
-66994625885.27364 -2792117031.698626
-66991804452.223045 -2891795267.500691
-66988887480.81707 -2991469308.083926
-66985874981.62968 -3091139011.589037
-66982766965.59477 -3190804236.192417
-66979563444.00607 -3290464840.107346
-66976264428.516914 -3390120681.585185
-66972869931.14007 -3489771618.9165745
-66969379964.24759 -3589417510.432629
-66965794540.57062 -3689058214.506131
-66962113673.1992 -3788693589.552725
-66958337375.582085 -3888323494.032108
-66954465661.526535 -3987947786.4492235
-66950498545.198105 -4087566325.3554497
-66946436041.12044 -4187178969.349789
-66942278164.17509 -4286785577.080057
-66938024929.60123 -4386386007.244068
-66933676352.9955 -4485980118.590821
-66929232450.31171 -4585567769.921684
-66924693237.86065 -4685148820.0915785
-66920058732.30984 -4784723128.0101595
-66915328950.68326 -4884290552.642999
-66910503910.36113 -4983850953.012761
-66905583629.07963 -5083404188.200384
-66900568124.93065 -5182950117.346257
-66895457416.3615 -5282488599.651391
-66890251522.17469 -5382019494.378596
-66884950461.52757 -5481542660.853656
-66879554253.932144 -5581057958.466493
-66874062919.254684 -5680565246.672342
-66868476477.715515 -5780064384.992919
-66862794949.88868 -5879555233.017582
-66857018356.70163 -5979037650.404502
-66851146719.434944 -6078511496.881824
-66845180059.72197 -6177976632.248826
-66839118399.54856 -6277432916.377084
-66832961761.2527 -6376880209.211624
-66826710167.52421 -6476318370.772085
-66820363641.40439 -6575747261.153868
-66813922206.2857 -6675166740.529292
-66807385885.911385 -6774576669.148746
-66800754704.37517 -6873976907.341834
-66794028686.12086 -6973367315.51853
-66787207855.942 -7072747754.170316
-66780292238.98154 -7172118083.87133
-66773281860.731384 -7271478165.279508
-66766176747.03211 -7370827859.13772
-66758976924.07253 -7470167026.274913
-66751682418.389336 -7569495527.6072445
-66744293256.86668 -7668813224.139216
-66736809466.735794 -7768119976.964806
-66729231075.57461 -7867415647.268597
-66721558111.30733 -7966700096.326906
-66713790602.20402 -8065973185.508914
-66705928576.8802 -8165234776.27778
-66697972064.29645 -8264484730.191767
-66689921093.75793 -8363722908.905364
-66681775694.913994 -8462949174.170399
-66673535897.75776 -8562163387.837153
-66665201732.62563 -8661365411.855478
-66656773230.19691 -8760555108.275898
-66648250421.493286 -8859732339.250725
-66639633337.87844 -8958896967.035158
-66630922011.05755 -9058048853.988392
-66622116473.07684 -9157187862.574717
-66613216756.323135 -9256313855.364609
-66604222893.52334 -9355426695.035837
-66595134917.74401 -9454526244.374548
-66585952862.39086 -9553612366.276361
-66576676761.20825 -9652684923.747458
-66567306648.27872 -9751743779.905663
-66557842558.022484 -9850788797.98153
-66548284525.19697 -9949819841.319422
-66538632584.89625 -10048836773.378593
-66528886772.55057 -10147839457.734257
-66519047123.92583 -10246827758.078663
-66509113675.12308 -10345801538.222168
-66499086462.577965 -10444760662.094303
-66488965523.06022 -10543704993.744835
-66478750893.67315 -10642634397.344833
-66468442611.853065 -10741548737.187725
-66458040715.36877 -10840447877.690353
-66447545242.32098 -10939331683.394032
-66436956231.141815 -11038200018.965593
-66426273720.594215 -11137052749.198437
-66415497749.77141 -11235889739.013578
-66404628358.09632 -11334710853.460686
-66393665585.32102 -11433515957.719128
-66382609471.52615 -11532304917.098995
-66371460057.12037 -11631077597.042152
-66360217382.83972 -11729833863.123255
-66348881489.747116 -11828573581.050781
-66337452419.23168 -11927296616.668055
-66325930213.00821 -12026002835.954271
-66314314913.116554 -12124692105.025513
-66302606561.92101 -12223364290.135761
-66290805202.10974 -12322019257.677916
-66278910876.69414 -12420656874.184797
-66266923629.00821 -12519277006.330156
-66254843502.70799 -12617879520.929682
-66242670541.7709 -12716464284.941984
-66230404790.4951 -12815031165.46961
-66218046293.49892 -12913580029.760029
-66205595095.720146 -13012110745.206617
-66193051242.41546 -13110623179.349653
-66180414779.15974 -13209117199.877295
-66167685751.845436 -13307592674.626566
-66154864206.68194 -13406049471.584332
-66141950190.19488 -13504487458.888266
-66128943749.22551 -13602906504.827826
-66115844930.93004 -13701306477.845224
-66102653782.778946 -13799687246.536385
-66089370352.55633 -13898048679.651903
-66075994688.35923 -13996390646.098007
-66062526838.59695 -14094713014.937513
-66048966851.99035 -14193015655.390768
-66035314777.57122 -14291298436.836601
-66021570664.68155 -14389561228.813263
-66007734562.97283 -14487803901.01937
-65993806522.40539 -14586026323.314835
-65979786593.24766 -14684228365.721806
-65965674826.07549 -14782409898.425589
-65951471271.77146 -14880570791.775576
-65937175981.52413 -14978710916.286167
-65922789006.827354 -15076830142.637688
-65908310399.47954 -15174928341.677301
-65893740211.582954 -15273005384.419928
-65879078495.54297 -15371061142.049139
-65864325304.06737 -15469095485.918077
-65849480690.16558 -15567108287.550337
-65834544707.14797 -15665099418.640879
-65819517408.62508 -15763068751.056911
-65804398848.506874 -15861016156.83878
-65789189081.00205 -15958941508.20086
-65773888160.61725 -16056844677.532429
-65758496142.15628 -16154725537.398552
-65743013080.71942 -16252583960.540953
-65727439031.70262 -16350419819.878874
-65711774050.79674 -16448232988.509962
-65696018193.98679 -16546023339.711117
-65680171517.55118 -16643790746.93935
-65664234078.06091 -16741535083.832647
-65648205932.378845 -16839256224.210814
-65632087137.65887 -16936954042.07632
-65615877751.34517 -17034628411.615152
-65599577831.17142 -17132279207.197643
-65583187435.15998 -17229906303.37931
-65566706621.62115 -17327509574.901695
-65550135449.152306 -17425088896.69318
-65533473976.637184 -17522644143.869812
-65516722263.24502 -17620175191.736126
-65499880368.42976 -17717681915.785965
-65482948351.92928 -17815164191.703285
-65465926273.76454 -17912621895.36297
-65448814194.23879 -18010054902.831615
-65431612173.93677 -18107463090.368362
-65414320273.723854 -18204846334.425663
-65396938554.74526 -18302204511.65008
-65379467078.425224 -18399537498.883087
-65361905906.46617 -18496845173.161835
-65344255100.84786 -18594127411.71994
-65326514723.8266 -18691384091.98826
-65308684837.93437 -18788615091.595657
-65290765505.97802 -18885820288.369778
-65272756791.03839 -18982999560.337814
-65254658756.46951 -19080152785.727245
-65236471465.897736 -19177279842.966614
-65218194983.22089 -19274380610.686264
-65199829372.60742 -19371454967.719093
-65181374698.49555 -19468502793.10129
-65162831025.59244 -19565523966.07309
-65144198418.87327 -19662518366.07947
-65125476943.58045 -19759485872.770927
-65106666665.22274 -19856426366.00417
-65087767649.574326 -19953339725.84285
-65068779962.67403 -20050225832.55828
-65049703670.8244 -20147084566.630154
-65030538840.59085 -20243915808.747234
-65011285538.80076 -20340719439.80809
-64991943832.54263 -20437495340.92176
-64972513789.16521 -20534243393.40848
-64952995476.27655 -20630963478.80036
-64933388961.7432 -20727655478.842068
-64913694313.68928 -20824319275.49152
-64893911600.49558 -20920954750.920563
