XS YS
0.9762897585264647 0.9999999999996463
0.9367726666010889 0.999964722513407
0.8814487987955504 0.9998706492405537
0.8103182895299693 0.9996942621957141
0.7233813330711654 0.9994120439088627
0.6206381835300171 0.9990004776253013
0.5020891548579239 0.9984360475056225
0.36773462084236996 0.9976952388256531
0.21757501510159144 0.9967545381763712
0.05161083107834635 0.9955904336637933
-0.13015737796721263 0.9941794151088262
-0.32772899896556185 0.9924979742470793
-0.5411033590467269 0.9905226049286314
-0.7702797255500992 0.9882298033177497
-1.0152573060351473 0.9855960680925532
-1.2760352482930255 0.9825979006446184
-1.5526126403590759 0.9792118052785213
-1.844988510526225 0.9754142894113105
-2.153161827359276 0.9711818637719083
-2.4771314997100937 0.9664910426004336
-2.816896376733682 0.9613183438474424
-3.172455247905155 0.9556402893730813
-3.5438068430376 0.9494334051461495
-3.930949832300833 0.9426742214430636
-4.333882826241041 0.9353392730467222
-4.752604375801319 0.9274050994452635
-5.187112972343095 0.9188482450307136
-5.637407047668442 0.9096452592975179
-6.103484974043282 0.8997726970409545
-6.585345064221472 0.8892071185554211
-7.08298557146978 0.8779250898325943
-7.596404689593744 0.8659031827594537
-8.12560055296442 0.853117975316168
-8.67057123654601 0.8395460517738382
-9.23131475592437 0.8251640028920921
-9.80782906733641 0.809948426116527
-10.400112067700364 0.7938759257759944
-11.008161594646944 0.7769231132797246
-11.631975426551376 0.7590666073142831
-12.271551282566307 0.740283034040357
-12.926886822655595 0.7205490272893658
-13.597979647628973 0.6998412287598917
-14.284827299177582 0.6781362882139258
-14.987427259910385 0.6554108636729242
-15.705776953391448 0.6316416216136709
-16.43987374417809 0.6068052371639416
-17.189714937859907 0.5808783942979655
-17.95529778109866 0.5538377860316789
-18.736619461669044 0.5256601146177664
-19.533677108500285 0.49632209174048725
-20.346467791718652 0.4658004387102784
-21.174988522690782 0.43407188665813357
-22.019236254067916 0.40111317672975205
-22.879207879830936 0.3669010602794526
-23.754900235336322 0.3314122990638484
-24.64631009736291 0.2946236654352792
-25.553434184159556 0.25651194253499493
-26.4762691554936 0.2170539244860874
-27.41481161270023 0.17622641658616509
-28.369058098732662 0.13400623549976692
-29.33900509821319 0.09037020945051065
-30.32464903748507 0.045295178412971114
-31.325986284665262 -0.001242005695715627
