XS YS
107860009334.24182 62838000.04619829
107859861492.99124 125675967.87041889
107859584290.55629 188513849.6716856
107859140766.42357 251351570.11589956
107858493959.86923 314189032.3352468
107857606909.84465 377026117.92725474
107856442654.8367 439862686.9534163
107854964232.70279 502698577.93730056
107853134680.48041 565533607.8620685
107850917034.17145 628367572.1673129
107848274328.50111 691200244.7451398
107845169596.65147 754031377.935413
107841565869.96959 816860702.5200752
107837426177.65025 879687927.7164695
107832713546.39333 942512741.1695755
107827391000.03561 1005334808.9430789
107821421559.1572 1068153775.5091946
107814768240.66234 1130969263.7371573
107807394057.33481 1193780874.8802989
107799262017.36757 1256588188.5616307
107790335123.86688 1319390762.7578452
107780576374.3307 1382188133.7816534
107769948760.10133 1444979816.2623768
107758415265.7922 1507765303.1247058
107745938868.68889 1570544065.565541
107732482538.124 1633315553.028834
107718009234.82617 1696079193.178337
107702481910.24295 1758834391.8681784
107685863505.83722 1821580533.1111755
107668116952.35756 1884316979.044796
107649205169.08199 1947043069.894679
107629091063.0352 2009758123.9356282
107607737528.17911 2072461437.4499815
107585107444.57648 2135152284.683271
107561163677.52763 2197829917.7970767
107535869076.68005 2260493566.8189816
107509186475.11055 2323142439.589533
107481078688.38002 2385775721.706113
107451508513.56047 2448392576.4636216
107420438728.23424 2510992144.7918725
107387832089.46503 2573573545.1895995
107353651332.74066 2636135873.654976
107317859170.88728 2698678203.6125374
107280418292.95473 2761199585.836406
107241291363.07286 2823699048.3697076
107200441019.27856 2886175596.440069
107157829872.31303 2948628212.371093
107113420504.3892 3011055855.4896827
107067175467.9289 3073457462.029114
107019057284.26935 3135831945.0277247
106969028442.33887 3198178194.223111
106917051397.30109 3260495075.941694
106863088569.16759 3322781432.9835415
106807102341.37842 3385036084.5023108
106749055059.35002 3447257825.880175
106688909028.99037 3509445428.5976048
106626626515.18053 3571597640.097859
106562169740.2224 3633713183.646046
106495500882.25206 3695790758.1826057
106426582073.61827 3757829038.1710625
106355375399.22537 3819826673.4398932
106281842894.84032 3881782289.0183544
106205946545.36302 3943694484.9660954
106127648283.05957 4005561836.196403
106046909985.75748 4067382892.29289
105963693475.00252 4129156177.319459
105877960514.17632 4190880189.623351
105789672806.57399 4252553401.6310945
105698791993.44122 4314174259.637151
105605279651.96974 4375741183.585065
105509097293.2507 4437252566.840901
105410206360.18488 4498706775.958762
105308568225.34892 4560102150.438155
105204144188.81677 4621437002.472985
105096895475.93523 4682709616.691933
104986783235.05275 4743918249.889973
104873768535.20049 4805061130.750783
104757812363.7244 4866136459.5597725
104638875623.86742 4927142407.907461
104516919132.3006 4988077118.382933
104391903616.60193 5048938704.257064
104263789712.68163 5109725249.155226
104132537962.1527 5170434806.719149
103998108809.64537 5231065400.257626
103860462600.06407 5291615022.385705
103719559575.78545 5352081634.652043
103575359873.79605 5412463167.154032
103427823522.76802 5472757518.140336
103276910440.07127 5532962553.600445
103122580428.72049 5593076106.840831
102964793174.25517 5653095978.047292
102803508241.55087 5713019933.833032
102638685071.56004 5772845706.772035
102470282977.98004 5832570994.917235
102298261143.84688 5892193461.30301
102122578618.05214 5951710733.431457
101943194311.78113 6011120402.741937
101760066994.86987 6070420024.063314
101573155292.07874 6129607115.048301
101382417679.28012 6188679155.589315
